pub_number cit_number
US-2016169488-A1 US-2013151358-A1
US-2017105384-A1 US-8757094-B2
US-2018093632-A1 US-5033647-A
US-2017049961-A1 US-6367605-B1
US-2017318187-A1 US-7969622-B2
US-2019188961-A1 US-2011207531-A1
US-2016305244-A1 US-2008029505-A1
US-2017167624-A1 US-6029691-A
US-2018133866-A1 US-2013015248-A1
US-2015361751-A1 US-5170843-A
US-2017240056-A1 US-2016072299-A1
US-2017254427-A1 US-7568499-B2
US-2017300092-A1 US-7443668-B2
US-2017133333-A1 US-2008088018-A1
US-2016113043-A1 US-2005025661-A1
US-2018301525-A1 US-2012140424-A1
US-2018016491-A1 US-2016159536-A1
US-2017361448-A1 US-8228029-B2
US-2018004468-A1 US-2008144080-A1
US-2017045751-A1 US-2017098297-A1
US-2015212963-A1 US-8749986-B1
US-2019004271-A1 US-6774311-B1
US-2018295237-A1 US-2011299873-A1
US-2017239749-A1 US-6006781-A
US-2018105687-A1 US-2018348718-A1
US-2018299125-A1 US-6446793-B1
US-2017194316-A1 US-7967342-B2
US-2018216604-A1 US-5306979-A
US-2017001387-A1 US-2012009070-A1
US-2017166075-A1 US-2013175857-A1
US-2018159135-A1 US-2017341995-A1
US-2018102218-A1 US-5148536-A
US-2018300925-A1 US-2014176662-A1
US-2017276698-A1 US-9226395-B2
US-2018313512-A1 US-2014171512-A1
US-2017278901-A1 US-2016194815-A1
US-2018042350-A1 US-8167127-B2
US-2018049703-A1 US-2012092169-A1
US-2016156232-A1 US-2009009009-A1
US-2019221970-A1 US-6540815-B1
US-2018167736-A1 US-7626291-B2
US-2016175182-A1 US-2004007324-A1
US-2017168280-A1 US-2014364550-A1
US-4768096-A US-3603731-A
US-2017084934-A1 US-2015132676-A1
US-2016369438-A1 US-2004026557-A1
US-2017285776-A1 US-2014340348-A1
US-2018270097-A1 US-2010091825-A1
US-2018081218-A1 US-2017250441-A1
US-2019085562-A1 US-2013074433-A1
US-2017139930-A1 US-2004116784-A1
US-2017332214-A1 US-2017094423-A1
US-2017117636-A1 US-2017148820-A1
US-2017027243-A1 US-7316035-B2
US-2017216878-A1 US-2012088071-A1
US-2017346556-A1 US-2012290760-A1
US-2018299582-A1 US-7410194-B2
US-2018021759-A1 US-2016281988-A1
US-2015241401-A1 US-2015004913-A1
US-2018292265-A1 US-2016217688-A1
US-2017207025-A1 US-6903920-B1
US-2018020119-A1 US-4917668-A
US-2016360809-A1 US-2008120754-A1
US-2016306450-A1 US-2015026455-A1
US-2014318990-A1 US-2008002133-A1
US-2017364730-A1 US-2014000367-A1
US-2017108603-A1 US-4800539-A
US-2018112266-A1 US-2015029978-A1
US-2016327251-A1 US-8403533-B1
US-2017071026-A1 US-2006005634-A1
US-2017362418-A1 US-2018257614-A1
US-2018054053-A1 US-5091818-A
US-2015286263-A1 US-2014002597-A1
US-2017216597-A1 US-2013338730-A1
US-2017245540-A1 US-2011275258-A1
US-2018061835-A1 US-2004151020-A1
US-2019072244-A1 US-7876157-B1
US-2018355028-A1 US-2015353770-A1
US-2018246643-A1 US-2016118121-A1
US-2014364252-A1 US-2019172726-A1
US-2017084124-A1 US-2018015597-A1
US-2017338646-A1 US-6985343-B2
US-2018000001-A1 US-2015304066-A1
US-2017224631-A1 US-2005004810-A1
US-2018187596-A1 US-5174108-A
US-2015176976-A1 US-2018070889-A1
US-2016081833-A1 US-2011190791-A1
US-2017273762-A1 US-6109917-A
US-2017304671-A1 US-2008070760-A1
US-2017172771-A1 US-2006241745-A1
US-2018216029-A1 US-2018278243-A1
US-2018068886-A1 US-2019087322-A1
US-2018152272-A1 US-2018167534-A1
US-2016028428-A1 US-2017333310-A1
US-2016221096-A1 US-2008038737-A1
US-2018193730-A1 US-2017252645-A1
US-2016270880-A1 US-2009036742-A1
US-2017371343-A1 US-2013190964-A1
US-2017296829-A1 US-2011050341-A1
US-2016277838-A1 US-2005206264-A1
US-2016348280-A1 US-2014011576-A1
US-2016256910-A1 US-2014214166-A1
US-2018055846-A1 US-2011152258-A1
US-2018016691-A1 US-2018149821-A1
US-2017371681-A1 US-2010188550-A1
US-2018061578-A1 US-5406983-A
US-2018009130-A1 US-2016064283-A1
US-2016199600-A1 US-7699052-B2
US-2017293446-A1 US-2014043897-A1
US-2019006001-A1 US-2007133331-A1
US-2018012664-A1 US-2017065189-A1
US-2017205023-A1 US-2017322627-A1
US-2016125780-A1 US-2012010623-A1
US-2015326558-A1 US-2008155680-A1
US-2017094214-A1 US-2019004524-A1
US-2016166350-A1 US-2012030300-A1
US-2017019575-A1 US-2018188454-A1
US-2018215304-A1 US-2006261623-A1
US-2017002189-A1 US-2009010446-A1
US-2017227194-A1 US-2017309388-A1
US-2016319213-A1 US-2002107150-A1
US-2018316242-A1 US-2010158723-A1
US-2015313751-A1 US-5570704-A
US-2018226427-A1 US-9431419-B2
US-2017011988-A1 US-2011009537-A1
US-2016157762-A1 US-2011242278-A1
US-2017166854-A1 US-2018129536-A1
US-2017067232-A1 US-2018260345-A1
US-2018169648-A1 US-2015005476-A1
US-2018041075-A1 US-2017331333-A1
US-2019155287-A1 US-2017020582-A1
US-2018044075-A1 US-5788072-A
US-2014208876-A1 US-2013171590-A1
US-2015005605-A1 US-2010139659-A1
US-2018113532-A1 US-2013008848-A1
US-2018115114-A1 US-5123805-A
US-2017208898-A1 US-5367791-A
US-2016166619-A1 US-2019036259-A1
US-2018070247-A1 US-2009026413-A1
US-2018019530-A1 US-7563103-B1
US-2018103128-A1 US-2007053087-A1
US-2016204441-A1 US-7842698-B2
US-2016237686-A1 US-4396045-A
US-2016067447-A1 US-2012197373-A1
US-2018347360-A1 US-2018094524-A1
US-2017080204-A1 US-2017015419-A1
US-2016084164-A1 US-2004258516-A1
US-2016243685-A1 US-2017199640-A1
US-2018088460-A1 US-2016275884-A1
US-2016184906-A1 US-2016005043-A1
US-2016174070-A1 US-9913136-B2
US-2018050293-A1 US-5137633-A
US-2018151412-A1 US-2009286384-A1
US-2017246425-A1 US-2017344032-A1
US-2017015796-A1 US-2012225963-A1
US-2018254865-A1 US-2019051098-A1
US-2017018978-A1 US-2008054738-A1
US-2018343138-A1 US-2017058736-A1
US-2016131154-A1 US-2011029304-A1
US-2015339357-A1 US-2012246303-A1
US-2018273688-A1 US-2018279231-A1
US-2016310593-A1 US-2019104268-A1
US-2015132854-A1 US-2017138794-A1
US-2018330599-A1 US-2018197677-A1
US-2018051644-A1 US-2012034469-A1
US-2018286427-A1 US-2018356371-A1
US-2017014115-A1 US-2014257373-A1
US-2017261102-A1 US-2009005255-A1
US-2017368615-A1 US-2017319630-A1
US-2018162324-A1 US-2018201936-A1
US-2016362056-A1 US-6276747-B1
US-2018004925-A1 US-2006106605-A1
US-2019021504-A1 US-2015002447-A1
US-2017122625-A1 US-2017315404-A1
US-2017334597-A1 US-2003010780-A1
US-2017295941-A1 US-2018065383-A1
US-2018304625-A1 US-2017282056-A1
US-2018133555-A1 US-8087959-B2
US-2017200388-A1 US-2007002059-A1
US-2017287885-A1 US-2017297734-A1
US-2019027674-A1 US-2010110018-A1
US-2018161870-A1 US-5998336-A
US-2017353688-A1 US-2003226082-A1
US-2017241115-A1 US-7243681-B2
US-2018166667-A1 US-2016036017-A1
US-2018175015-A1 US-2016145775-A1
US-2016354161-A1 US-2011092859-A1
US-2018005363-A1 US-2013101884-A1
US-2018293228-A1 US-2017193986-A1
US-2017234908-A1 US-2014354302-A1
US-2015092318-A1 US-2018247783-A1
US-2016100817-A1 US-5218824-A
US-2017273334-A1 US-2009123608-A1
US-2017264126-A1 US-2012187759-A1
US-2018260758-A1 US-2009000597-A1
US-2017371598-A1 US-2012042050-A1
US-2015099199-A1 US-2019096776-A1
US-2018058668-A1 US-5322232-A
US-2017051385-A1 US-3923500-A
US-2018040442-A1 US-4106855-A
US-2018364356-A1 US-2011100010-A1
US-2017290085-A1 US-2011073068-A1
US-2017089627-A1 US-2014216068-A1
US-2017161550-A1 US-2008192129-A1
US-2018183718-A1 US-2016114100-A1
US-2018234462-A1 US-2019004716-A1
US-2019031460-A1 US-8905400-B2
US-2017024193-A1 US-2019014209-A1
US-2017038524-A1 US-2018296611-A1
US-2017282066-A1 US-2008002036-A1
US-2016296106-A1 US-2002022766-A1
US-2017266423-A1 US-5479945-A
US-2017334204-A1 US-2013050338-A1
US-2018274284-A1 US-4953583-A
US-2018172957-A1 US-2007020114-A1
US-2017214864-A1 US-2014091201-A1
US-2018255617-A1 US-2015209736-A1
US-2016317930-A1 US-2017293083-A1
US-2016058432-A1 US-8653263-B2
US-2018077585-A1 US-2014184455-A1
US-2016328600-A1 US-2018028835-A1
US-2019127102-A1 US-2013021833-A1
US-2016095691-A1 US-2006020334-A1
US-2017287159-A1 US-2014031691-A1
US-2017215831-A1 US-2012125481-A1
US-2019091231-A1 US-2013030253-A1
US-2018266946-A1 US-2008128622-A1
US-2018020159-A1 US-2015350583-A1
US-2018183214-A1 US-2015055667-A1
US-2017065774-A1 US-5115816-A
US-2017363555-A1 US-8477906-B2
US-2017300069-A1 US-2004199284-A1
US-2018310002-A1 US-2014030146-A1
US-2018111370-A1 US-2008042212-A1
US-2017354371-A1 US-2018242386-A1
US-2017250517-A1 US-2016161965-A1
US-2017365809-A1 US-2017129782-A1
US-2016032439-A1 US-5422723-A
US-2018282582-A1 US-6478159-B1
US-2016152323-A1 US-2016318151-A1
US-2015090837-A1 US-2019051115-A1
US-2018186542-A1 US-2003021331-A1
US-2017249520-A1 US-2005270454-A1
US-2016314865-A1 US-2019080630-A1
US-2018022886-A1 US-2018016238-A1
US-2019072719-A1 US-2015011782-A1
US-2018226465-A1 US-2016147325-A1
US-2019068703-A1 US-2009276771-A1
US-2017056573-A1 US-6706012-B2
US-2019094792-A1 US-7397158-B2
US-2015064516-A1 US-2013252052-A1
US-2017034903-A1 US-2002031868-A1
US-10355385-B1 US-2014309056-A1
US-2016250040-A1 US-2012226283-A1
US-2017241461-A1 US-4214685-A
US-2019057942-A1 US-2006157798-A1
US-10193501-B2 US-2017159491-A1
US-2018145262-A1 US-2004164292-A1
US-2017290262-A1 US-3673773-A
US-2016225590-A1 US-2017353508-A1
US-2018173005-A1 US-2017156840-A1
US-2018108417-A1 US-8908431-B2
US-2018184787-A1 US-2019131274-A1
US-2015374053-A1 US-6526591-B2
US-2017148275-A1 US-2018292268-A1
US-2014260415-A1 US-2005198998-A1
US-2017022037-A1 US-2015253411-A1
US-2018225826-A1 US-3614210-A
US-2016145427-A1 US-2012184651-A1
US-2018319593-A1 US-7774243-B1
US-2018298698-A1 US-9334705-B1
US-2016332156-A1 US-4951512-A
US-2017232533-A1 US-2019109177-A1
US-2017061323-A1 US-2018131988-A1
US-2017294310-A1 US-2009000486-A1
US-2017251028-A1 US-2012173033-A1
US-2018258618-A1 US-2009297219-A1
US-2017087956-A1 US-2013333406-A1
US-2015312052-A1 US-2012210178-A1
US-2018083749-A1 US-2017264476-A1
US-2016236865-A1 US-2008247848-A1
US-2018092766-A1 US-2014277360-A1
US-2018181100-A1 US-2008054829-A1
US-2013297441-A1 US-2018306985-A1
US-2017016985-A1 US-2005027022-A1
US-2018201027-A1 US-2011081551-A1
US-2018081005-A1 US-2017115046-A1
US-2018071577-A1 US-2011303925-A1
US-2016217892-A1 US-2016218307-A1
US-2016367290-A1 US-2017336627-A1
US-2018287951-A1 US-2013018540-A1
US-2018238303-A1 US-2014234103-A1
US-2017281972-A1 US-2014187985-A1
US-2015090803-A1 US-2019224530-A1
US-2017158384-A1 US-2011220674-A1
US-2018094581-A1 US-2018331019-A1
US-2018091051-A1 US-2015137776-A1
US-2018211849-A1 US-2018082342-A1
US-2016373884-A1 US-2015052268-A1
US-2017189145-A1 US-2016296305-A1
US-2017140257-A1 US-2015029421-A1
US-2017359099-A1 US-7272756-B2
US-2017214121-A1 US-2012309331-A1
US-2018030097-A1 US-5681019-A
US-2017256937-A1 US-4708022-A
US-2016022471-A1 US-2008020826-A1
US-2017333252-A1 US-2017347845-A1
US-2017207537-A1 US-2004010485-A1
US-2017002561-A1 US-2019221090-A1
US-2017136222-A1 US-8380321-B2
US-2019098332-A1 US-2006155305-A1
US-2017103772-A1 US-2010011588-A1
US-2016190862-A1 US-2015048789-A1
US-2017373873-A1 US-2019027628-A1
US-2018328588-A1 US-2017112439-A1
US-2017017918-A1 US-2017245474-A1
US-2017042680-A1 US-2012330411-A1
US-2018038303-A1 US-2016345963-A1
US-2017072231-A1 US-2010021093-A1
US-2016107616-A1 US-2011142961-A1
US-2018167970-A1 US-2019068114-A1
US-2019102965-A1 US-2013126547-A1
US-2018095535-A1 US-2017133906-A1
US-2017254657-A1 US-2017184078-A1
US-2017254917-A1 US-2015021894-A1
US-2017309270-A1 US-2019195037-A1
US-2016136679-A1 US-2018059010-A1
US-2017164760-A1 US-6047423-A
US-2018126216-A1 US-2016104787-A1
US-2015260465-A1 US-2018027129-A1
US-2016193423-A1 US-8096978-B2
US-2017306686-A1 US-2016324448-A1
US-2017303056-A1 US-7652628-B2
US-2016045329-A1 US-5931358-A
US-2017342245-A1 US-2010311906-A1
US-2017232581-A1 US-9821472-B2
US-2016375207-A1 US-2013047985-A1
US-2014025879-A1 US-2017093329-A1
US-2019078484-A1 US-2013255234-A1
US-2017151038-A1 US-2008031611-A1
US-2017370455-A1 US-2008055308-A1
US-2016352101-A1 US-6561100-B1
US-2018177066-A1 US-4982128-A
US-2016083987-A1 US-2009029225-A1
US-2017325157-A1 US-5695484-A
US-2016189555-A1 US-5977529-A
US-2015245835-A1 US-2012012579-A1
US-2017071688-A1 US-2011004644-A1
US-2018033740-A1 US-8501607-B1
US-2017102745-A1 US-2008006264-A1
US-2016202769-A1 US-2016107938-A1
US-2018150280-A1 US-8311623-B2
US-2018122810-A1 US-2018212222-A1
US-2019063258-A1 US-2011229351-A1
US-2016298026-A1 US-2016021520-A1
US-2016022110-A1 US-2009317554-A1
US-2010236541-A1 US-2018023503-A1
US-2018303516-A1 US-5997466-A
US-2019024710-A1 US-2017288657-A1
US-2018114836-A1 US-2015196039-A1
US-2018242934-A1 US-2016323660-A1
US-2017129962-A1 US-2016231386-A1
US-2015116145-A1 US-2019132275-A1
US-2019034186-A1 US-2019061587-A1
US-2018209448-A1 US-2017158553-A1
US-2016202482-A1 US-2015212963-A1
US-2015105232-A1 US-3744384-A
US-2018263273-A1 US-5131162-A
US-2019046327-A1 US-2018317121-A1
US-2016222994-A1 US-2015038904-A1
US-2019043561-A1 US-2001028581-A1
US-2017058577-A1 US-8449001-B2
US-2017212610-A1 US-2011010271-A1
US-2015124103-A1 US-2002185509-A1
US-2018015508-A1 US-6520843-B1
US-2017227240-A1 US-4223630-A
US-2017322407-A1 US-2016348142-A1
US-2019071263-A1 US-2014267993-A1
US-2016235314-A1 US-2018236957-A1
US-2017050134-A1 US-2018201931-A1
US-2018004124-A1 US-2018250039-A1
US-2017260570-A1 US-2005135032-A1
US-2018278378-A1 US-2010074204-A1
US-2017299852-A1 US-2018058653-A1
US-2017155152-A1 US-2011061141-A1
US-2017268364-A1 US-8814507-B1
US-2016251557-A1 US-2014031463-A1
US-2016374813-A1 US-2014098247-A1
US-2018240932-A1 US-2017091798-A1
US-2017209335-A1 US-2015011976-A1
US-2018256201-A1 US-2009254094-A1
US-2018131305-A1 US-2013205694-A1
US-2018147077-A1 US-6290502-B1
US-2017169929-A1 US-2017133130-A1
US-2019104612-A1 US-8313891-B2
US-2017031477-A1 US-2017169593-A1
US-2017211511-A1 US-5507143-A
US-2016353614-A1 US-2013263884-A1
US-2018336275-A1 US-2017221749-A1
US-2018190899-A1 US-2017047508-A1
US-2019063402-A1 US-2017112604-A1
US-2018095350-A1 US-2015124429-A1
US-2016097327-A1 US-6033233-A
US-2019198114-A1 US-2017139761-A1
US-2017309979-A1 US-2013017428-A1
US-2017220478-A1 US-2013009133-A1
US-2019043980-A1 US-6573534-B1
US-2017024093-A1 US-8739445-B2
US-2014214958-A1 US-2005254880-A1
US-2018012045-A1 US-2008019422-A1
US-2017143173-A1 US-2012204372-A1
US-2018108625-A1 US-2012068327-A1
US-2018055159-A1 US-2009012759-A1
US-2018064030-A1 US-2018062680-A1
US-2017166028-A1 US-2014124874-A1
US-2018343159-A1 US-6536011-B1
US-2018213718-A1 US-4434759-A
US-2019091193-A1 US-2013136768-A1
US-2016169848-A1 US-4674323-A
US-2018026197-A1 US-2018324354-A1
US-2017355216-A1 US-2006020819-A1
US-2017230860-A1 US-2017141017-A1
US-2016215633-A1 US-2018176957-A1
US-2017122020-A1 US-4550982-A
US-2018292734-A1 US-5963749-A
US-2018215185-A1 US-2004044809-A1
US-2018215169-A1 US-2012120152-A1
US-2017113336-A1 US-2014034002-A1
US-2017135500-A1 US-2017102003-A1
US-2016120227-A1 US-4081124-A
US-2016310182-A1 US-2017053889-A1
US-2017056006-A1 US-9801628-B2
US-2017212531-A1 US-2009292395-A1
US-2016067468-A1 US-2018009345-A1
US-2016340922-A1 US-4743166-A
US-2017324692-A1 US-2014031720-A1
US-2018329982-A1 US-2015370780-A1
US-2019140781-A1 US-2011032897-A1
US-2015329908-A1 US-2018368588-A1
US-2019048578-A1 US-4630692-A
US-2017307952-A1 US-2016006200-A1
US-2017184647-A1 US-2017182202-A1
US-2016356558-A1 US-2019162951-A1
US-2017018819-A1 US-2017256369-A1
US-2017014951-A1 US-2018224837-A1
US-2018342944-A1 US-2016022187-A1
US-2016289857-A1 US-2018240715-A1
US-2018051563-A1 US-2016022432-A1
US-2017201454-A1 US-2013201984-A1
US-2016280150-A1 US-9544487-B2
US-2017142453-A1 US-8232486-B2
US-2017234266-A1 US-2016003108-A1
US-2018214044-A1 US-2009264781-A1
US-2015267483-A1 US-8178782-B2
US-2016108777-A1 US-2011286604-A1
US-2014179185-A1 US-2013004298-A1
US-2015321019-A1 US-2009030260-A1
US-2016327921-A1 US-2008015740-A1
US-2017241552-A1 US-2015243955-A1
US-2018154670-A1 US-2014225955-A1
US-2017147720-A1 US-2014013293-A1
US-2017145314-A1 US-6317976-B1
US-2018127140-A1 US-2015261368-A1
US-2019126071-A1 US-7020315-B2
US-2017020616-A1 US-2010222677-A1
US-2018089260-A1 US-9965793-B1
US-2018107903-A1 US-8660340-B2
US-10296048-B1 US-2015024494-A1
US-2018286859-A1 US-2017165523-A1
US-2017134662-A1 US-2014176350-A1
US-2018093192-A1 US-2018266139-A1
US-2017080381-A1 US-2017226438-A1
US-2011303728-A1 US-2018154431-A1
US-2018020426-A1 US-2012093051-A1
US-2017308042-A1 US-2012016925-A1
US-2016175116-A1 US-2015297362-A1
US-2018052028-A1 US-2018109689-A1
US-2017118874-A1 US-2013026938-A1
US-2017086621-A1 US-2019031588-A1
US-2017100544-A1 US-5199949-A
US-2018086910-A1 US-8039952-B2
US-2019187421-A1 US-4232941-A
US-2016084155-A1 US-2009206136-A1
US-2015204707-A1 US-5609291-A
US-2017010766-A1 US-2013254708-A1
US-2017359782-A1 US-2006011315-A1
US-2016128763-A1 US-2005240174-A1
US-2017366362-A1 US-2007258466-A1
US-2016061330-A1 US-6711858-B1
US-2017162867-A1 US-2011311873-A1
US-2017205525-A1 US-2005194959-A1
US-2015237837-A1 US-7189697-B2
US-2016195823-A1 US-2003149466-A1
US-2014039633-A1 US-2017290653-A1
US-2014358140-A1 US-2012116486-A1
US-2019090672-A1 US-2018341545-A1
US-2017277341-A1 US-2005003285-A1
US-2016246036-A1 US-2010017202-A1
US-2017241715-A1 US-7448441-B2
US-2017020796-A1 US-2011035820-A1
US-2017307003-A1 US-4318208-A
US-2018363475-A1 US-2016029921-A1
US-2013013121-A1 US-2018292439-A1
US-2017223921-A1 US-2014024705-A1
US-2017036314-A1 US-4013280-A
US-2016335265-A1 US-2011159931-A1
US-2016210605-A1 US-2013282588-A1
US-2017199617-A1 US-2018344170-A1
US-2018083550-A1 US-2017005429-A1
US-2018214044-A1 US-4564098-A
US-2018062856-A1 US-2017279617-A1
US-2018097683-A1 US-2015011745-A1
US-2017125149-A1 US-2018294101-A1
US-2018030933-A1 US-2002078932-A1
US-2018297608-A1 US-2017137026-A1
US-2017321622-A1 US-2016020872-A1
US-2018010492-A1 US-2016317220-A1
US-2017260941-A1 US-2019000370-A1
US-2018112894-A1 US-2012130679-A1
US-2018042653-A1 US-2009209979-A1
US-2016324528-A1 US-6572333-B2
US-2012187948-A1 US-7183770-B2
US-2019005763-A1 US-2016014077-A1
US-2016169409-A1 US-2015023439-A1
US-2017294274-A1 US-2018374370-A1
US-2011140123-A1 US-2016291710-A1
US-2015201868-A1 US-7756607-B2
US-2018212189-A1 US-5826861-A
US-2017209216-A1 US-5693043-A
US-2015251264-A1 US-2017260351-A1
US-2016296181-A1 US-2013335417-A1
US-2018293776-A1 US-2004160449-A1
US-2017234523-A1 US-2018130534-A1
US-2018090096-A1 US-2008000324-A1
US-2019011514-A1 US-2016146120-A1
US-2018085204-A1 US-2016051949-A1
US-2019098389-A1 US-2008298626-A1
US-2018198088-A1 US-2018342497-A1
US-2019040725-A1 US-2010089574-A1
